2025-06-19 13:17:37,727 | main | WARNING | __init__:204 | Redis initialization failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2025-06-19 13:17:37,738 | sentence_transformers.SentenceTransformer | INFO | __init__:211 | Use pytorch device_name: cpu
2025-06-19 13:17:37,739 | sentence_transformers.SentenceTransformer | INFO | __init__:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-19 13:17:42,257 | master_pipeline | INFO | __init__:161 | Semantic similarity model loaded
2025-06-19 13:17:42,536 | master_pipeline | INFO | _load_processed_articles:1116 | Loaded 39 processed URLs
2025-06-19 13:17:42,537 | master_pipeline | INFO | __init__:992 | Enterprise News Pipeline initialized
2025-06-19 13:17:42,537 | main | INFO | <module>:573 | Enterprise pipeline initialized successfully
2025-06-19 13:17:42,576 | main | INFO | lifespan:582 | 🚀 Enterprise News Intelligence API starting up...
2025-06-19 13:17:42,585 | main | INFO | lifespan:588 | 📊 Metrics server started on port 8001
2025-06-19 13:18:39,060 | main | INFO | lifespan:594 | 🛑 Enterprise News Intelligence API shutting down...
2025-06-19 13:27:33,356 | main | WARNING | __init__:204 | Redis initialization failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2025-06-19 13:27:33,364 | sentence_transformers.SentenceTransformer | INFO | __init__:211 | Use pytorch device_name: cpu
2025-06-19 13:27:33,364 | sentence_transformers.SentenceTransformer | INFO | __init__:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-19 13:27:36,899 | master_pipeline | INFO | __init__:161 | Semantic similarity model loaded
2025-06-19 13:27:37,156 | master_pipeline | INFO | _load_processed_articles:1116 | Loaded 39 processed URLs
2025-06-19 13:27:37,157 | master_pipeline | INFO | __init__:992 | Enterprise News Pipeline initialized
2025-06-19 13:27:37,158 | main | INFO | <module>:573 | Enterprise pipeline initialized successfully
2025-06-19 13:27:37,184 | main | INFO | lifespan:582 | 🚀 Enterprise News Intelligence API starting up...
2025-06-19 13:27:37,191 | main | INFO | lifespan:588 | 📊 Metrics server started on port 8001
2025-06-19 13:31:10,613 | main | INFO | lifespan:594 | 🛑 Enterprise News Intelligence API shutting down...
2025-06-19 13:32:24,529 | main | WARNING | __init__:202 | Redis initialization failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2025-06-19 13:32:24,537 | sentence_transformers.SentenceTransformer | INFO | __init__:211 | Use pytorch device_name: cpu
2025-06-19 13:32:24,537 | sentence_transformers.SentenceTransformer | INFO | __init__:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-19 13:32:29,196 | master_pipeline | INFO | __init__:161 | Semantic similarity model loaded
2025-06-19 13:32:29,456 | master_pipeline | INFO | _load_processed_articles:1116 | Loaded 39 processed URLs
2025-06-19 13:32:29,457 | master_pipeline | INFO | __init__:992 | Enterprise News Pipeline initialized
2025-06-19 13:32:29,457 | main | INFO | <module>:571 | Enterprise pipeline initialized successfully
2025-06-19 13:32:29,485 | main | INFO | lifespan:580 | 🚀 Enterprise News Intelligence API starting up...
2025-06-19 13:32:29,492 | main | INFO | lifespan:586 | 📊 Metrics server started on port 8001
2025-06-19 13:32:29,492 | main | INFO | lifespan:592 | Performing initial pipeline run to populate data...
2025-06-19 13:32:29,495 | master_pipeline | INFO | process_all_sources:1610 | 🚀 Starting enterprise pipeline - 5 sources, 3 workers
2025-06-19 13:32:29,496 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping Inc42 (max: 15 articles)
2025-06-19 13:32:29,498 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping Entrackr (max: 15 articles)
2025-06-19 13:32:29,499 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping Moneycontrol (max: 15 articles)
2025-06-19 13:32:29,838 | master_pipeline | INFO | scrape_source:1256 | Entrackr: Found 1 potential articles
2025-06-19 13:32:29,962 | master_pipeline | INFO | scrape_source:1256 | Inc42: Found 12 potential articles
2025-06-19 13:32:30,088 | master_pipeline | INFO | scrape_source:1256 | Moneycontrol: Found 25 potential articles
2025-06-19 13:32:30,373 | master_pipeline | INFO | scrape_source:1276 | ✅ Entrackr: Processed 'SEBI eases IPO norms for startups with ESOP, reverse-flippin...'
2025-06-19 13:32:30,415 | master_pipeline | INFO | scrape_source:1276 | ✅ Inc42: Processed 'Conversational Payments Via AI Being Developed To Bolster In...'
2025-06-19 13:32:30,586 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'Amazon to invest Rs 2,000 crore in India to boost logistics,...'
2025-06-19 13:32:32,722 | master_pipeline | INFO | scrape_source:1276 | ✅ Inc42: Processed 'MobiKwik Shares Crash 10% As Lock-In Period Ends...'
2025-06-19 13:32:32,882 | master_pipeline | INFO | scrape_source:1290 | ✅ Entrackr: Completed in 3.4s - 1 articles
2025-06-19 13:32:32,882 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping StartupNews.fyi (max: 15 articles)
2025-06-19 13:32:32,883 | master_pipeline | INFO | process_all_sources:1630 | ✅ entrackr: 1 articles collected
2025-06-19 13:32:33,952 | master_pipeline | INFO | scrape_source:1256 | StartupNews.fyi: Found 85 potential articles
2025-06-19 13:32:34,117 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'Freshworks is now an AI company, not just SaaS, says CEO Den...'
2025-06-19 13:32:34,234 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Google Messages rolls out ‘Delete for Everyone’ feature and ...'
2025-06-19 13:32:34,724 | master_pipeline | INFO | scrape_source:1290 | ✅ Inc42: Completed in 5.2s - 2 articles
